Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Inventory tracking,Free shipping,Feature comparison,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Short description,Status,Image URL,Detailed image URL,Analogue tags
"ASITH327Y4209","en","254","Men","119.00","119.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","OT Rio Runner","","","","","OT Rio Runner","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Lifestyle","","A","","",""
"ASITHL2020146","en","255","Men","159.00","159.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","OT Mexico 66","","","","","OT Mexico 66","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Lifestyle","","A","","",""
"BRO110167024","en","256","Men","229.00","229.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Glycerin 12","","","","","BROOKS M Glycerin 12","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110168113","en","257","Men","189.00","189.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Ghost 7","","","","","BROOKS M Ghost 7","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110181057","en","258","Men","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Adrenaline GTS 15 2E Width","","","","","BROOKS M Adrenaline GTS 15 2E Width","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110181168","en","259","Men","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Adrenaline GTS 15 2E Width","","","","","BROOKS M Adrenaline GTS 15 2E Width","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110181813","en","260","Men","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Adrenaline GTS 15 2E","","","","","BROOKS M Adrenaline GTS 15 2E","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110182039","en","261","Men","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Pure Cadence 4","","","","","BROOKS M Pure Cadence 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110182629","en","262","Men","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Pure Cadence 4","","","","","BROOKS M Pure Cadence 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110183027","en","263","Men","169.00","169.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Pure Cadence 4","","","","","BROOKS M Pure Cadence 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110183811","en","264","Men","169.00","169.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Pure Cadence 4","","","","","BROOKS M Pure Cadence 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110186146","en","265","Men","189.00","189.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Ravenna 6 2E Width","","","","","BROOKS M Ravenna 6 2E Width","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110186313","en","266","Men","189.00","189.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Ravenna 6 2E","","","","","BROOKS M Ravenna 6 2E","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110186468","en","267","Men","189.00","189.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Ravenna 6","","","","","BROOKS M Ravenna 6","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110187413","en","268","Men","179.00","179.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Cascadia 10","","","","","BROOKS M Cascadia 10","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110187613","en","269","Men","179.00","179.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Cascadia 10","","","","","BROOKS M Cascadia 10","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110188002","en","270","Men","169.00","169.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO110188002_1.jpg#{[en]:;}","BROOKS M Launch2","","","","","BROOKS M Launch2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188002_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188002_1.jpg",""
"BRO110188702","en","271","Men","169.00","169.00","0.50","10","0","0.00","13 Jun 2015 07:01:42","O","N","N","R","","exim/backup/images/BRO110188702_1.jpg#{[en]:;}","BROOKS M Launch2","","","","","BROOKS M Launch2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188702_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO110188702_1.jpg",""
"BRO110189668","en","272","Men","279.00","279.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Transcend 2","","","","","BROOKS M Transcend 2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO110189713","en","273","Men","279.00","279.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS M Transcend 2","","","","","BROOKS M Transcend 2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Men///Footwear///Running","","A","","",""
"BRO120160646","en","274","Women","229.00","229.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS W Glycerin 12","","","","","BROOKS W Glycerin 12","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","","",""
"BRO120161124","en","275","Women","189.00","189.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","","BROOKS W Ghost 7","","","","","BROOKS W Ghost 7","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","","",""
"BRO120174068","en","276","Women","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120174068_1.jpg#{[en]:;}","BROOKS W Adrenaline GTS 15","","","","","BROOKS W Adrenaline GTS 15","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174068_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174068_1.jpg",""
"BRO120174458","en","277","Women","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120174458_1.jpg#{[en]:;}","BROOKS W Adrenaline GTS 15 Dwidth","","","","","BROOKS W Adrenaline GTS 15 Dwidth","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174458_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120174458_1.jpg",""
"BRO120175052","en","278","Women","199.00","199.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120175052_1.jpg#{[en]:;}","BROOKS W Pure Cadence 4","","","","","BROOKS W Pure Cadence 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175052_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175052_1.jpg",""
"BRO120175559","en","279","Women","199.00","199.00","0.50","10","0","0.00","05 Jun 2015 18:45:02","O","N","N","R","","exim/backup/images/BRO120175559_1.jpg#{[en]:;}","BROOKS W Pure Cadence 4","","","","","BROOKS W Pure Cadence 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175559_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120175559_1.jpg",""
"BRO120176051","en","280","Women","169.00","169.00","0.50","10","0","0.00","05 Jun 2015 00:00:00","O","N","N","R","","exim/backup/images/BRO120176051_1.jpg#{[en]:;}","BROOKS W Pure Connect 4","","","","","BROOKS W Pure Connect 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176051_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176051_1.jpg",""
"BRO120176587","en","281","Women","169.00","169.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120176587_1.jpg#{[en]:;}","BROOKS W Pure Connect 4","","","","","BROOKS W Pure Connect 4","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176587_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120176587_1.jpg",""
"BRO120178302","en","282","Women","169.00","169.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120178302_1.jpg#{[en]:;}","BROOKS W Launch2","","","","","BROOKS W Launch2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178302_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178302_1.jpg",""
"BRO120178635","en","283","Women","169.00","169.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120178635_1.jpg#{[en]:;}","BROOKS W Launch2","","","","","BROOKS W Launch2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178635_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120178635_1.jpg",""
"BRO120181424","en","284","Women","179.00","179.00","0.50","10","0","0.00","05 Jun 2015 18:49:10","O","N","N","R","","exim/backup/images/BRO120181424_1.jpg#{[en]:;}","BROOKS W Cascadia 10","","","","","BROOKS W Cascadia 10","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181424_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181424_1.jpg",""
"BRO120181624","en","285","Women","179.00","179.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120181624_1.jpg#{[en]:;}","BROOKS W Cascadia 10","","","","","BROOKS W Cascadia 10","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181624_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120181624_1.jpg",""
"BRO120183436","en","286","Women","279.00","279.00","0.50","10","0","0.00","05 Jun 2015 18:42:06","O","N","N","R","","exim/backup/images/BRO120183436_1.jpg#{[en]:;}","BROOKS W Transcend 2","","","","","BROOKS W Transcend 2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183436_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183436_1.jpg",""
"BRO120183802","en","287","Women","279.00","279.00","0.50","10","0","0.00","01 Jan 1970 07:30:00","O","N","N","R","","exim/backup/images/BRO120183802_1.jpg#{[en]:;}","BROOKS W Transcend 2","","","","","BROOKS W Transcend 2","GST","","(Sportslink) International: S[US]; (Sportslink) Shoes size: S[6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11]","Women///Footwear///Running","","A","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183802_1.jpg","http://lostcom.us/sportslinkshop/images/detailed/1/BRO120183802_1.jpg",""
"L0078RO9Y9","en","78","Women///Footwear","0.00","100.00","1.00","10","0","0.00","08 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/G48874_01.jpg#{[en]:;}","adizero Rush Shoes","<p>Get moving in the lightweight adizero&trade; Rush shoes by adidas. These  featherweight, dynamic men's running shoes are just 7.5 ounces of  high-mileage style, with adiPRENE®+ support in the forefoot, a light  synthetic upper and a thin rubber outsole for a close</p>","","","","","GST","Brand: E[Adidas]","(Sportslink) International: S[US,UK,EU,JP]; (Sportslink) Apparel size: SG[Small,Medium,Large,X Large]; (Sportslink) Adidas Shoe Colour: S[Black,White,Red,Blue]","Kids///Boys///Footwear; Men///Footwear","","D","http://lostcom.us/sportslinkshop/images/detailed/0/G48874_01.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/G48874_01.jpg",""
"Z0079TIUPW","en","79","Women///Footwear","98.00","98.00","1.00","10","0","0.00","08 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/U42918_01.jpg#{[en]:;}","adiZero Tempaia Shoes","<p>The adiZero&trade; Tempaia shoes by adidas are lightweight, breathable tennis  shoes designed for multi-court use. They feature a breathable upper,  adiPRENE®+ in the forefoot for propulsion, adiPRENE® heel cushioning and  EXTENDED TORSION® for support.</p>","","","","","GST","Brand: E[Adidas]","","Kids///Girls///Footwear","","D","http://lostcom.us/sportslinkshop/images/detailed/0/U42918_01.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/U42918_01.jpg",""
"M0080Z1B49","en","80","Women///Footwear","0.00","55.00","1.00","14","0","0.00","08 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/476750_003_A.jpg#{[en]:;}","Nike Tenkay Slip TXTL Women's Shoe","<div class=""black-white-black-white text description""><div class=""product-description-component""><p><strong>The Nike Tenkay Slip TXTL: Casual-cool with a sporty side</strong></p>Versatile  and super comfortable, the Nike Tenkay Slip TXTL Women's Shoe looks as  good as it feels. With a soft textile upper and a durable rubber  outsole, this shoe provides excellent traction on a variety of surfaces.<br><p><strong>Benefits</strong></p><li>Textile upper with suede overlays for a comfortable fit</li><li>Elastic slip-on entry for easy on and off</li><li>Flex grooves at outsole for enhanced flexibility</li><br><p><strong>Additional Details</strong></p><li>Removable ankle strap for a versatile fit</li><li>Rubber outsole for durability</li></div></div>","","","","","GST","Brand: E[Nike]","","","","D","http://lostcom.us/sportslinkshop/images/detailed/0/476750_003_A.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/476750_003_A.jpg",""
"Y0081TT6SI","en","81","Men///Footwear","0.00","49.50","1.00","39","0","0.00","08 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/7210_4815_200_f.jpg#{[en]:;}","Minnetonka Original Cowhide Driving Moc","<div class=""linePadding leadingEquity"">Authentic designs. Free-spirited heritage. Shaping the moccasin's place in history since 1946.</div><div class=""linePadding"">Leather</div><ul class=""equityBullets firstSet""><li>• Genuine leather construction </li><li>• Lace-up front </li><li>• Long-wearing nub bottom </li><li>• Cushioned leather insole </li><li>• Contrast stitching </li></ul>","","","","","GST","","","","","D","http://lostcom.us/sportslinkshop/images/detailed/0/7210_4815_200_f.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/7210_4815_200_f.jpg",""
"W00918CYVW","en","91","Women///Accessories","0.00","10700.00","0.50","0","0","0.00","08 Feb 2012 00:00:00","B","N","N","R","","exim/backup/images/102337_l.ashx.jpg#{[en]:;}","Montblanc Nicolas Rieussec Chronograph Automatic","<p>43 mm watch with stainless steel case, Montblanc Calibre MB R200,  monopusher chronograph with automatic winding, anthracite-coloured dial  with applique hour circle, date display, second time zone with day/night  display, chronograph counters with rotating discs.</p>","","","","","GST","","","Kids///Girls///Accessories; Kids///Boys///Accessories; Men///Accessories","","D","http://lostcom.us/sportslinkshop/images/detailed/0/102337_l.ashx.jpg","http://lostcom.us/sportslinkshop/images/detailed/0/102337_l.ashx.jpg",""
